username,category,num_followers,num_followees,num_posts
thebeyoutybureau,beauty,38449.0,1525.0,938.0
makeupbyjalesse,beauty,11036.0,479.0,607.0
ellycatt,beauty,71339.0,1600.0,646.0
glamourqueen_mua,beauty,6733.0,2282.0,986.0
gotymakeup3,beauty,77756.0,817.0,3913.0
mollypopsofcolor,beauty,31449.0,850.0,1438.0
nickeilgenesis,beauty,43601.0,2932.0,1059.0
luckyones07,beauty,3691.0,6769.0,1057.0
1208_sj,beauty,59020.0,279.0,1333.0
rosy_soo,beauty,33506.0,198.0,383.0
harmonysouthway,beauty,1164.0,1978.0,814.0
laura_mkp,beauty,1500.0,1962.0,730.0
basic_gaia,beauty,61705.0,250.0,949.0
beautyfashlaw,beauty,2132.0,883.0,449.0
kilennyk,beauty,15515.0,993.0,424.0
lovinggirlylife,beauty,8855.0,6874.0,336.0
carlayneclover,beauty,43457.0,78.0,330.0
thelittlemua,beauty,32750.0,2428.0,982.0
emily_snips,beauty,29797.0,698.0,3812.0
katieamerrick,beauty,4522.0,1541.0,529.0
minute._.2,beauty,1074.0,168.0,272.0
khloedosh,beauty,322040.0,602.0,1980.0
nikolekristinehair,beauty,1121.0,933.0,834.0
makeupbyalinna,beauty,2223377.0,339.0,589.0
casslevinehair,beauty,1175.0,991.0,417.0
maryamremias,beauty,23525.0,1154.0,1277.0
andriellyneri,beauty,29292.0,363.0,696.0
amieyoungmua,beauty,8923.0,6700.0,615.0
lolaliner,beauty,614530.0,342.0,1307.0
hairmakeupbyanna,beauty,86364.0,489.0,507.0
braided_to_infinity,beauty,47386.0,395.0,703.0
tineballeteam_hairstudio,beauty,2771.0,577.0,694.0
vannedoesit,beauty,2057.0,1787.0,552.0
brutavaresppf,beauty,1643856.0,4644.0,13132.0
secrets.of.makeup,beauty,6793.0,2853.0,663.0
raphaelamua,beauty,81277.0,3789.0,409.0
nataliesandqvist,beauty,12953.0,386.0,969.0
hair.by.cara,beauty,4088.0,1253.0,880.0
bellacobian,beauty,30691.0,1003.0,338.0
smokeylily,beauty,28767.0,1691.0,626.0
bonnys_wonderland,beauty,1753.0,776.0,459.0
zachmesquit,beauty,216199.0,372.0,960.0
mirellamanelli,beauty,46940.0,714.0,646.0
roseandben,beauty,349824.0,526.0,2717.0
turquoisetrouble,beauty,8913.0,2255.0,1037.0
kirstyrowlands.makeup,beauty,1956.0,1494.0,1098.0
makeupbytammi,beauty,76921.0,699.0,1200.0
safai305,beauty,32938.0,948.0,996.0
tianacosmetics,beauty,159526.0,1160.0,466.0
kesulatko_makeup,beauty,1177.0,214.0,260.0
captureyesstudio,beauty,7548.0,1191.0,1824.0
marchbeautyword,beauty,37128.0,747.0,3062.0
special.koko,beauty,41954.0,835.0,4146.0
bilbo_park,beauty,21525.0,160.0,463.0
ilinca.munteanu,beauty,18024.0,346.0,1563.0
ryanbpotter,beauty,350760.0,471.0,455.0
glamoureal,beauty,185095.0,165.0,1909.0
mmaiohmmai,beauty,34728.0,1664.0,888.0
makeupl0verr,beauty,56249.0,673.0,1617.0
theblondemann,beauty,77815.0,722.0,1123.0
rachleary,beauty,181549.0,666.0,1394.0
lepetitbeirut,beauty,104540.0,526.0,540.0
johannaherrstedt,beauty,625066.0,508.0,410.0
ashleyswagnerxo,beauty,264208.0,542.0,1444.0
amythemermaidx,beauty,318764.0,228.0,948.0
sarahshithappens,beauty,39632.0,938.0,446.0
shaylasouliere,beauty,98729.0,3417.0,1073.0
bymorgantyler,beauty,1601.0,237.0,330.0
taesface,beauty,32387.0,108.0,400.0
alanaahewitt,beauty,9346.0,1245.0,274.0
captaingabex,beauty,89350.0,373.0,486.0
patryyciah,beauty,8003.0,1405.0,598.0
deneandale,beauty,30554.0,1262.0,1161.0
pompberry,beauty,42134.0,2499.0,826.0
jasmineregmi,beauty,154389.0,294.0,941.0
venessaluciano,beauty,33340.0,367.0,1768.0
hairwitchery,beauty,1199.0,1188.0,924.0
verolover,beauty,6850.0,1745.0,2065.0
carollago,beauty,31815.0,906.0,788.0
graceful_knots,beauty,3974.0,1628.0,327.0
irisbeilin,beauty,631046.0,982.0,1626.0
thevinfx,beauty,36996.0,670.0,372.0
queenofluna,beauty,423430.0,483.0,487.0
glambyshelby,beauty,23343.0,529.0,570.0
cherylpandemonium,beauty,111202.0,461.0,1686.0
chloezadori,beauty,10266.0,1445.0,1190.0
theresahuaroto,beauty,11302.0,474.0,672.0
vianneyleigh_makeup,beauty,3550.0,1081.0,1103.0
shekinahstudio,beauty,4174.0,1044.0,245.0
beautyxgabrielle,beauty,11737.0,1443.0,343.0
studioveronaa,beauty,18497.0,420.0,1418.0
chinabell,beauty,21000.0,3140.0,1684.0
vanjajagnic,beauty,54327.0,744.0,509.0
hairstylistof_la,beauty,31469.0,3479.0,5697.0
ewalkk,beauty,14397.0,754.0,437.0
sharmkup,beauty,17264.0,1806.0,1277.0
nicolesmakeup_,beauty,83928.0,608.0,420.0
_chloemorton,beauty,101224.0,1867.0,1684.0
mandiglitter,beauty,7557.0,6195.0,1649.0
skye.lw,beauty,116922.0,395.0,1142.0
lady_end,beauty,2657.0,1559.0,4681.0
themisschriss,beauty,9544.0,1152.0,2098.0
trophdoph,beauty,28505.0,609.0,485.0
lindseystarbies,beauty,1119.0,684.0,779.0
brownhairedbliss,beauty,169649.0,376.0,1982.0
girinbt,beauty,47992.0,281.0,405.0
lyanna_mua,beauty,11779.0,1627.0,325.0
melraesegal,beauty,92400.0,786.0,894.0
mrtndamex,beauty,66156.0,526.0,1055.0
urbandecaycosmetics,beauty,10175588.0,1023.0,5167.0
a1delatorre,beauty,91041.0,272.0,585.0
miik3y_starr,beauty,34239.0,6840.0,4620.0
tonya_stylz,beauty,2258.0,514.0,602.0
_kelsxo_,beauty,26357.0,485.0,642.0
beautybykiim,beauty,6048.0,646.0,626.0
sylwiaperri,beauty,10887.0,1681.0,662.0
malvikasitlaniofficial,beauty,103971.0,2044.0,1319.0
cpresso,beauty,203385.0,659.0,1578.0
vilcreates,beauty,41291.0,917.0,421.0
shelbytriglia,beauty,161675.0,142.0,323.0
barbara_makeup_2690,beauty,25892.0,3562.0,685.0
pigeon_pie_art,beauty,80129.0,435.0,499.0
hazelmaven,beauty,2540.0,1223.0,318.0
susannebarnekow,beauty,25588.0,7098.0,2505.0
mscatrin,beauty,4053.0,743.0,397.0
laurawhittlemua,beauty,1420.0,2140.0,369.0
itstessymuller,beauty,50348.0,944.0,810.0
pennold,beauty,231957.0,1880.0,1079.0
iheart_sarahy,beauty,195863.0,1333.0,481.0
claudiaschonhofen,beauty,64462.0,2917.0,1936.0
pourmwabeauty,beauty,4620.0,140.0,220.0
ivykungu,beauty,55338.0,406.0,728.0
angydrops,beauty,2442.0,2073.0,426.0
viva_glam_kay,beauty,1459908.0,1839.0,2172.0
makeupbydivadoll,beauty,92973.0,877.0,687.0
meung.e,beauty,34855.0,185.0,517.0
laurensrevenge,beauty,51640.0,2063.0,643.0
lindyvera1,beauty,1525.0,2845.0,535.0
vanespada,beauty,103913.0,5016.0,1316.0
glitterandshimmer,beauty,9142.0,4122.0,556.0
zabrenaxo,beauty,37338.0,106.0,585.0
mixnblendbeauty,beauty,3594.0,831.0,358.0
royailmaz0,beauty,11291.0,125.0,1552.0
thaciaevellin,beauty,24923.0,3044.0,2831.0
lavishlybritt,beauty,26490.0,700.0,347.0
nboutique.ae,beauty,55435.0,132.0,280.0
fcaligaris,beauty,1080.0,765.0,351.0
sylvialovesthemakeup,beauty,38024.0,602.0,313.0
lauramakeup90,beauty,11933.0,5787.0,4520.0
helinoftroy,beauty,1557.0,4341.0,2241.0
yackievds,beauty,7688.0,2142.0,1632.0
studionnsd,beauty,10181.0,1384.0,721.0
jreneejrenee,beauty,19988.0,7503.0,1364.0
tavujesus,beauty,83003.0,627.0,333.0
alyscasella,beauty,14562.0,1484.0,535.0
wesleybenjamincarter,beauty,209243.0,938.0,2390.0
vicmram,beauty,33466.0,752.0,761.0
beautybyrosita,beauty,117821.0,2033.0,1534.0
nikkiperkins_mua,beauty,14223.0,1505.0,2584.0
wonderlandxabri_,beauty,15294.0,852.0,689.0
katieguevarra,beauty,3175.0,351.0,1188.0
pamelajuicymakeup,beauty,36568.0,280.0,750.0
amandapastoree,beauty,138082.0,2128.0,1197.0
makeup___meow,beauty,25293.0,909.0,1284.0
neworleansnaturalhairexpo,beauty,64907.0,1583.0,10307.0
kourtneydee,beauty,18839.0,2152.0,2016.0
aminaali_mua,beauty,2073.0,1761.0,465.0
tanyacheban,beauty,299844.0,151.0,720.0
ksmmakeup,beauty,4285.0,922.0,790.0
fashionicide,beauty,10828.0,720.0,1465.0
ellinoramanda,beauty,16932.0,665.0,814.0
juanmacativa,beauty,71737.0,733.0,2460.0
makeupbymanug,beauty,12476.0,474.0,638.0
woongrami,beauty,25130.0,444.0,1442.0
betagolchin,beauty,6986.0,2977.0,3372.0
richelle.beauty,beauty,1955.0,561.0,463.0
beautifulyouliverpool,beauty,1529.0,1372.0,477.0
beautybymarlika,beauty,2419.0,2208.0,473.0
karlapatriciamakeup,beauty,1899.0,1461.0,260.0
_aubreanascurlss,beauty,36767.0,1179.0,766.0
ulovemegz,beauty,272746.0,715.0,2935.0
kassinka,beauty,23629.0,326.0,856.0
mi3na70925,beauty,14326.0,134.0,550.0
laleelove90,beauty,4284.0,2959.0,844.0
hamza.hairdresser,beauty,3818.0,135.0,261.0
thekriksters,beauty,84429.0,64.0,1025.0
itscaseyjoe,beauty,5603.0,797.0,239.0
themegscahill,beauty,47986.0,1330.0,833.0
peachyqueenblog,beauty,1349883.0,1709.0,8171.0
larisadoll,beauty,541897.0,1284.0,4741.0
lisatran.beauty,beauty,1603.0,595.0,586.0
theboldbre,beauty,11338.0,1630.0,894.0
thebeautybible.ie,beauty,14421.0,4424.0,1763.0
jacenbowman,beauty,50524.0,6074.0,1504.0
allieballiemakeup,beauty,111588.0,1277.0,2246.0
littlecoconut,beauty,2152.0,775.0,3592.0
the_stylebb,beauty,2309.0,2054.0,194.0
serenitybeautyyy,beauty,16592.0,1874.0,471.0
karina_waldron,beauty,20228.0,1119.0,658.0
sabrinaxmakeup,beauty,85856.0,2571.0,828.0
flatbushzombae,beauty,1417.0,1563.0,418.0
cybelesays,beauty,28596.0,1832.0,636.0
tammysloty,beauty,54520.0,1315.0,2070.0
katiesgotglam,beauty,1077.0,1586.0,611.0
aurasmakeupbox,beauty,45114.0,2272.0,833.0
naturalhairrebel,beauty,15290.0,987.0,2336.0
ffigs,beauty,98325.0,1037.0,811.0
sifascorner,beauty,9592.0,6361.0,1469.0
kathynunezhair,beauty,65973.0,1603.0,2956.0
essentiallysammie,beauty,5486.0,594.0,435.0
flukeofmakeup,beauty,97557.0,496.0,307.0
whambamglam247,beauty,7989.0,515.0,546.0
poppysalonmn,beauty,2113.0,3324.0,1472.0
kat.rist,beauty,1556.0,1076.0,516.0
deejabthestylist_,beauty,35371.0,2283.0,921.0
realritalynn,beauty,3822.0,4143.0,381.0
raisabercede,beauty,8720.0,1175.0,2676.0
ainamarieh,beauty,5827.0,1326.0,437.0
lolalynnmitchell,beauty,37255.0,1563.0,2836.0
cachosestilososbrasil,beauty,70485.0,1923.0,1171.0
erinscottbeauty,beauty,48273.0,321.0,1066.0
luferraes,beauty,512404.0,355.0,3928.0
taniellemua,beauty,23017.0,1545.0,848.0
catchingkerosene,beauty,109330.0,217.0,780.0
krissykakess,beauty,38425.0,459.0,1087.0
ronniieangelique,beauty,2075.0,1283.0,2228.0
kelzyness,beauty,1585.0,1560.0,915.0
lisatuff_tilu,beauty,1316.0,2607.0,538.0
curlyniquenique,beauty,4392.0,283.0,332.0
_artacha,beauty,13939.0,857.0,918.0
yellabambi,beauty,279105.0,215.0,274.0
eucamillagomes,beauty,4463.0,242.0,1927.0
camidelrey143,beauty,3743.0,2420.0,648.0
4everestherr,beauty,29534.0,879.0,299.0
ldelabios,beauty,1781.0,1205.0,273.0
tierrajbeauty,beauty,15435.0,678.0,1348.0
firstladyshanta,beauty,3678.0,6500.0,1434.0
_trishamarieditton_,beauty,6389.0,1302.0,619.0
summerd.beauty,beauty,3365.0,1858.0,327.0
rowisingh,beauty,98972.0,1741.0,1400.0
thetaylorcherie,beauty,9890.0,392.0,793.0
melissaq007,beauty,3168.0,2788.0,1921.0
smileyque,beauty,1482.0,910.0,993.0
nahiomitv,beauty,45589.0,438.0,671.0
